date,rating,country,employee_status,position_level,function_area,recommender_bin,perspective_commerciale_bin,approbation_pdg_bin,employee_status_label,year
2022-04-01,5.0,Ireland,1,Associate,Consulting–Advisory,1,1,0,Current,2022
2022-03-07,5.0,United States,1,Senior Manager,Other,1,1,1,Current,2022
2022-03-07,3.0,Malaysia,0,Associate,Audit–Assurance,,,,Former,2022
2022-04-02,5.0,United States,0,,Other,,,,Former,2022
2022-02-26,5.0,Russia,0,Senior Associate,Other,,1,,Former,2022
2022-03-09,5.0,United States,1,Intern,Audit–Assurance,1,,,Current,2022
2022-03-22,3.0,Other,0,Intern,Other,1,1,1,Former,2022
2022-03-12,5.0,Netherlands,1,Associate,Other,1,1,,Current,2022
2022-04-06,5.0,South Africa,1,Senior Manager,Other,,1,1,Current,2022
2022-04-06,5.0,Hungary,1,Associate,Other,,,,Current,2022
2022-03-14,4.0,India,1,Associate,Other,,1,1,Current,2022
2022-04-08,3.0,Hong Kong,1,Manager,Other,,,,Current,2022
2022-02-22,4.0,United States,1,Associate,Audit–Assurance,1,1,1,Current,2022
2021-12-15,4.0,United States,1,,Other,1,1,1,Current,2021
2022-03-28,4.0,India,0,,Other,1,0,0,Former,2022
2022-03-18,4.0,Taiwan,1,Senior Associate,Other,-1,1,,Current,2022
2022-03-18,5.0,Luxembourg,1,Director,Tax,,,,Current,2022
2022-02-23,3.0,United Arab Emirates,1,Senior Associate,Other,,,,Current,2022
2022-03-07,5.0,India,1,Senior Associate,Other,,1,1,Current,2022
2022-03-31,4.0,United Kingdom,1,Senior Associate,Other,,,,Current,2022
2022-03-31,5.0,Indonesia,1,Associate,Other,,1,1,Current,2022
2022-02-15,3.0,South Africa,1,Associate,Other,,1,1,Current,2022
2021-10-20,4.0,United States,1,Intern,Audit–Assurance,1,1,,Current,2021
2022-02-16,2.0,Singapore,0,,Audit–Assurance,,,0,Former,2022
2022-04-04,4.0,Philippines,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-04,5.0,United Kingdom,1,Intern,Audit–Assurance,,,,Current,2022
2022-03-11,3.0,Thailand,0,Associate,Audit–Assurance,,,,Former,2022
2022-04-05,5.0,Singapore,1,Intern,Audit–Assurance,,,,Current,2022
2022-04-05,3.0,Czechia,1,,Tech–IT–Data,,,,Current,2022
2022-03-23,5.0,United States,1,Senior Associate,Deals–Transactions,1,1,1,Current,2022
2022-03-13,4.0,Singapore,1,Intern,Tech–IT–Data,,,,Current,2022
2022-06-03,1.0,United States,1,Associate,Tax,,0,,Current,2022
2022-04-07,5.0,Australia,1,Manager,Other,1,1,1,Current,2022
2022-04-07,4.0,India,1,Senior Associate,Tax,,-1,-1,Current,2022
2022-04-07,4.0,United States,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-08,5.0,Germany,0,,Other,,,,Former,2022
2022-04-08,5.0,United Kingdom,1,Senior Associate,Other,,,,Current,2022
2022-03-03,4.0,United States,1,Manager,Other,,,,Current,2022
2022-04-10,5.0,United States,1,Associate,Audit–Assurance,1,1,1,Current,2022
2022-04-10,4.0,United States,1,Senior Manager,Other,1,1,1,Current,2022
2022-03-28,5.0,Indonesia,1,,Other,1,1,1,Current,2022
2022-04-12,4.0,Ireland,1,Associate,Other,,1,,Current,2022
2022-03-17,4.0,India,1,Associate,Other,1,1,,Current,2022
2022-03-05,5.0,Australia,1,,Other,,1,1,Current,2022
2022-03-05,5.0,Australia,1,Director,Consulting–Advisory,,1,1,Current,2022
2022-03-30,3.0,Malaysia,1,Intern,Other,1,0,,Current,2022
2022-03-31,4.0,Australia,1,Intern,Tax,,1,1,Current,2022
2022-04-01,3.0,Hong Kong,1,Senior Associate,Audit–Assurance,,0,0,Current,2022
2022-05-24,1.0,Hong Kong,0,Manager,Other,-1,-1,1,Former,2022
2022-04-03,3.0,India,1,Senior Associate,Other,,,,Current,2022
2022-04-04,3.0,United Arab Emirates,1,Senior Associate,Other,1,1,,Current,2022
2022-03-22,4.0,United States,0,Associate,Tax,1,1,1,Former,2022
2022-03-12,4.0,Philippines,1,Associate,Tax,,,,Current,2022
2022-03-24,2.0,United States,0,Associate,Audit–Assurance,-1,-1,-1,Former,2022
2022-03-25,4.0,Canada,1,,Other,,,,Current,2022
2021-07-12,5.0,India,0,Associate,Other,1,1,1,Former,2021
2022-04-09,4.0,Germany,1,Associate,Audit–Assurance,,,1,Current,2022
2022-03-15,5.0,India,0,,Tax,,,,Former,2022
2022-03-04,4.0,Philippines,1,Associate,Other,,,,Current,2022
2022-03-28,4.0,Hong Kong,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-12,3.0,United States,0,,Tech–IT–Data,,,,Former,2022
2022-03-31,5.0,United States,1,Senior Associate,Other,1,1,1,Current,2022
2022-03-31,4.0,United Kingdom,0,Senior Associate,Support (HR/Ops/Finance),,,,Former,2022
2022-04-02,5.0,India,1,Senior Associate,Other,,,,Current,2022
2022-03-09,4.0,United States,0,Senior Associate,Other,,,,Former,2022
2021-10-07,2.0,India,1,Senior Associate,Other,-1,-1,,Current,2021
2022-03-22,3.0,Hong Kong,0,Intern,Other,,,,Former,2022
2022-03-22,3.0,United States,0,Associate,Other,,,,Former,2022
2022-03-22,4.0,Indonesia,1,Senior Associate,Other,,,,Current,2022
2022-04-04,4.0,Singapore,1,Director,Support (HR/Ops/Finance),,,,Current,2022
2022-04-04,4.0,India,1,Senior Associate,Other,,,,Current,2022
2022-01-21,2.0,United Kingdom,0,Partner,Other,,-1,,Former,2022
2022-01-21,5.0,United States,1,,Support (HR/Ops/Finance),1,1,1,Current,2022
2022-04-18,1.0,India,1,Senior Associate,Other,-1,-1,,Current,2022
2022-03-11,4.0,India,1,Senior Associate,Other,1,1,1,Current,2022
2022-04-05,3.0,United Kingdom,1,Manager,Other,,,,Current,2022
2022-04-06,3.0,Jordan,1,Associate,Other,,,,Current,2022
2022-03-24,5.0,United States,0,Senior Associate,Other,,,1,Former,2022
2022-02-18,3.0,United Kingdom,1,,Other,1,1,0,Current,2022
2022-03-13,4.0,India,1,Senior Associate,Other,1,1,,Current,2022
2022-03-25,4.0,India,1,Manager,Other,,1,,Current,2022
2022-04-10,3.0,India,0,Associate,Audit–Assurance,,,,Former,2022
2022-03-27,4.0,United States,1,,Audit–Assurance,,,,Current,2022
2022-03-28,5.0,Egypt,0,Intern,Other,1,0,0,Former,2022
2022-02-22,4.0,India,0,Senior Associate,Other,,1,1,Former,2022
2022-03-16,4.0,Australia,1,Manager,Other,,,,Current,2022
2022-03-17,4.0,Brazil,0,Associate,Other,,1,0,Former,2022
2022-03-30,4.0,Singapore,1,Manager,Tax,,,,Current,2022
2021-12-02,3.0,Singapore,0,Senior Associate,Other,,0,,Former,2021
2022-04-01,5.0,United States,1,,Other,,,,Current,2022
2022-04-01,4.0,United Kingdom,1,,Other,,1,1,Current,2022
2022-03-20,4.0,United Kingdom,1,Senior Associate,Deals–Transactions,1,1,1,Current,2022
2022-03-21,5.0,Sri Lanka,1,Senior Associate,Other,1,1,1,Current,2022
2022-03-21,4.0,India,0,Senior Associate,Other,,,,Former,2022
2022-04-02,4.0,India,1,Manager,Other,1,1,1,Current,2022
2022-03-22,4.0,Czechia,0,Associate,Audit–Assurance,,,,Former,2022
2022-03-23,5.0,Philippines,1,Associate,Other,1,,,Current,2022
2021-11-08,3.0,Philippines,0,Intern,Tax,-1,-1,0,Former,2021
2022-01-31,4.0,United States,0,Manager,Tax,,-1,,Former,2022
2022-03-25,4.0,Turkey,0,Senior Manager,Other,1,,,Former,2022
2021-09-16,4.0,India,1,Associate,Other,,1,1,Current,2021
2022-01-15,5.0,Other,1,Manager,Audit–Assurance,,1,,Current,2022
2022-03-02,5.0,Turkey,1,Senior Associate,Audit–Assurance,1,1,1,Current,2022
2022-02-02,1.0,United States,0,Associate,Audit–Assurance,-1,0,1,Former,2022
2022-03-27,3.0,Hong Kong,1,Associate,Tech–IT–Data,,0,1,Current,2022
2022-02-21,1.0,Australia,1,Associate,Other,-1,0,,Current,2022
2022-03-15,4.0,United States,0,Intern,Audit–Assurance,,,,Former,2022
2022-03-15,4.0,United Kingdom,1,Senior Associate,Audit–Assurance,,,,Current,2022
2022-03-15,3.0,United States,0,Associate,Other,1,0,0,Former,2022
2022-03-16,2.0,United Kingdom,0,Partner,Other,-1,-1,-1,Former,2022
2022-03-05,4.0,China,0,Manager,Other,,,,Former,2022
2022-03-29,2.0,Saudi Arabia,1,Director,Other,,,,Current,2022
2022-03-07,4.0,India,0,Manager,Support (HR/Ops/Finance),,,,Former,2022
2022-04-02,4.0,India,1,Associate,Other,,0,0,Current,2022
2022-03-21,3.0,United States,0,Intern,Audit–Assurance,,,,Former,2022
2022-03-22,4.0,Ireland,1,,Other,,,,Current,2022
2022-04-04,3.0,United States,1,Associate,Other,,,,Current,2022
2022-03-10,4.0,Israel,1,Associate,Consulting–Advisory,,1,,Current,2022
2022-04-05,4.0,Argentina,1,Manager,Tax,,,,Current,2022
2022-04-06,5.0,Singapore,1,Associate,Audit–Assurance,,,,Current,2022
2022-03-24,2.0,Hong Kong,0,Senior Associate,Audit–Assurance,-1,,0,Former,2022
2022-03-24,5.0,Portugal,0,Associate,Audit–Assurance,,,,Former,2022
2022-03-13,4.0,United Kingdom,1,Senior Manager,Support (HR/Ops/Finance),,,,Current,2022
2022-03-15,5.0,Ghana,0,Associate,Other,,1,1,Former,2022
2022-03-28,4.0,India,1,Manager,Other,1,1,1,Current,2022
2022-01-25,3.0,United Kingdom,1,Associate,Tax,-1,1,,Current,2022
2022-03-17,5.0,United States,1,Associate,Support (HR/Ops/Finance),1,1,,Current,2022
2022-03-05,4.0,Russia,1,,Other,1,0,1,Current,2022
2022-03-29,5.0,Australia,1,,Other,,,,Current,2022
2022-03-19,5.0,United States,1,Associate,Tech–IT–Data,1,1,1,Current,2022
2022-02-24,4.0,United States,0,Senior Associate,Audit–Assurance,1,1,1,Former,2022
2022-03-31,5.0,Malaysia,1,,Other,1,0,0,Current,2022
2022-03-21,4.0,United States,0,Director,Other,,,,Former,2022
2022-04-02,3.0,United States,0,Manager,Other,,,,Former,2022
2022-04-04,3.0,Other,0,Senior Associate,Other,,,,Former,2022
2022-04-05,5.0,India,0,Senior Associate,Other,,,,Former,2022
2022-03-01,5.0,India,0,Associate,Tax,1,1,1,Former,2022
2022-03-11,3.0,India,0,,Other,-1,1,0,Former,2022
2022-03-12,3.0,Hong Kong,1,,Consulting–Advisory,1,0,0,Current,2022
2022-04-06,3.0,Hong Kong,0,Associate,Other,,,,Former,2022
2022-02-02,3.0,Luxembourg,1,Manager,Tax,1,1,0,Current,2022
2022-02-22,4.0,United States,1,Associate,Tax,,,,Current,2022
2022-03-15,2.0,Australia,1,Associate,Tech–IT–Data,,,,Current,2022
2022-03-16,3.0,Canada,1,Senior Associate,Other,,1,1,Current,2022
2022-03-28,5.0,United Kingdom,1,,Other,,,1,Current,2022
2022-03-29,4.0,Singapore,1,,Other,,,,Current,2022
2022-03-29,4.0,Czechia,1,Intern,Other,,,,Current,2022
2021-12-25,4.0,Ireland,1,Associate,Other,1,1,1,Current,2021
2022-03-31,4.0,United Kingdom,1,Senior Manager,Other,,,,Current,2022
2022-03-31,1.0,India,0,,Audit–Assurance,-1,-1,-1,Former,2022
2021-11-19,4.0,United States,1,Associate,Tech–IT–Data,1,1,-1,Current,2021
2022-01-18,5.0,India,0,Senior Associate,Other,,,,Former,2022
2022-04-01,5.0,Philippines,1,Associate,Audit–Assurance,,,,Current,2022
2022-02-17,3.0,India,1,Associate,Other,,,,Current,2022
2022-03-21,5.0,India,0,Associate,Other,,,,Former,2022
2022-03-21,4.0,United States,0,Intern,Other,,1,1,Former,2022
2022-04-03,2.0,United States,1,Senior Associate,Audit–Assurance,,,,Current,2022
2022-04-04,5.0,Singapore,1,Intern,Other,,,,Current,2022
2021-11-15,4.0,India,1,Manager,Other,1,1,1,Current,2021
2022-03-10,4.0,United Kingdom,1,Senior Associate,Other,,1,1,Current,2022
2021-10-02,3.0,South Africa,0,Senior Associate,Tech–IT–Data,1,1,1,Former,2021
2022-03-01,3.0,Egypt,1,Manager,Tech–IT–Data,,,,Current,2022
2022-03-02,4.0,Russia,0,Associate,Other,1,0,1,Former,2022
2022-03-26,3.0,Indonesia,0,Senior Associate,Consulting–Advisory,,,,Former,2022
2022-02-20,3.0,Taiwan,0,Associate,Audit–Assurance,-1,,,Former,2022
2022-03-15,4.0,Singapore,1,Associate,Support (HR/Ops/Finance),,,,Current,2022
2022-03-15,4.0,India,1,Senior Associate,Other,,,,Current,2022
2022-03-16,4.0,India,1,Manager,Other,,,,Current,2022
2022-03-16,4.0,Hong Kong,1,Associate,Other,,,,Current,2022
2022-03-17,3.0,Singapore,1,Associate,Other,,,,Current,2022
2022-03-29,5.0,United States,1,,Tech–IT–Data,,,,Current,2022
2022-03-30,3.0,United States,1,,Audit–Assurance,,,,Current,2022
2022-01-18,3.0,Qatar,1,Associate,Other,-1,,,Current,2022
2022-01-27,1.0,United Kingdom,1,,Other,-1,0,-1,Current,2022
2022-03-18,4.0,South Africa,1,Senior Associate,Other,,,,Current,2022
2022-03-31,4.0,India,1,,Audit–Assurance,,,,Current,2022
2022-04-01,5.0,Malaysia,0,Associate,Audit–Assurance,,,,Former,2022
2022-04-01,4.0,India,1,Manager,Other,,1,1,Current,2022
2022-05-23,1.0,United States,1,Senior Associate,Other,1,1,1,Current,2022
2022-01-19,5.0,United States,1,Senior Manager,Other,1,1,1,Current,2022
2022-03-20,4.0,United Kingdom,1,Manager,Other,,1,1,Current,2022
2022-01-29,5.0,Nigeria,1,Intern,Tech–IT–Data,,1,1,Current,2022
2022-02-27,3.0,India,1,Manager,Other,,1,0,Current,2022
2022-03-09,5.0,United States,1,Manager,Support (HR/Ops/Finance),,,1,Current,2022
2022-02-18,3.0,Singapore,0,Manager,Audit–Assurance,,,,Former,2022
2022-04-05,3.0,United States,1,Associate,Audit–Assurance,,,,Current,2022
2022-03-22,3.0,Israel,0,,Other,,,-1,Former,2022
2022-03-23,3.0,South Africa,1,Associate,Other,,,,Current,2022
2022-03-12,5.0,Kenya,1,Associate,Tax,,,,Current,2022
2022-01-30,3.0,Philippines,0,Associate,Other,,0,0,Former,2022
2022-01-05,5.0,South Africa,1,Senior Manager,Other,,0,0,Current,2022
2022-03-24,5.0,South Africa,1,Senior Associate,Other,1,1,,Current,2022
2022-03-25,3.0,United Kingdom,1,Manager,Audit–Assurance,,,,Current,2022
2022-03-13,4.0,Singapore,0,Manager,Support (HR/Ops/Finance),1,0,0,Former,2022
2022-03-16,4.0,India,1,Director,Consulting–Advisory,1,0,1,Current,2022
2021-11-25,3.0,Ireland,1,Senior Manager,Other,-1,1,0,Current,2021
2022-01-17,4.0,United States,1,Senior Associate,Other,,1,1,Current,2022
2022-02-05,4.0,United States,1,Associate,Audit–Assurance,,,,Current,2022
2022-03-20,4.0,Russia,1,,Other,,,,Current,2022
2022-03-22,3.0,United States,1,,Risk,,,,Current,2022
2022-03-22,5.0,India,1,,Tech–IT–Data,,1,1,Current,2022
2022-04-04,4.0,Malaysia,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-04,3.0,United Kingdom,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-04,3.0,South Africa,1,Associate,Audit–Assurance,,,,Current,2022
2022-01-21,3.0,India,1,Associate,Other,-1,-1,-1,Current,2022
2022-02-28,4.0,Thailand,1,Senior Associate,Audit–Assurance,1,0,0,Current,2022
2022-03-11,5.0,Singapore,1,Intern,Risk,,,,Current,2022
2022-04-06,3.0,Hong Kong,0,,Other,,,,Former,2022
2022-03-23,3.0,Other,1,Associate,Audit–Assurance,,,,Current,2022
2022-03-24,4.0,United States,0,Manager,Other,1,0,1,Former,2022
2022-02-19,3.0,United Arab Emirates,1,Manager,Support (HR/Ops/Finance),,,,Current,2022
2022-01-22,5.0,Australia,0,,Other,,,,Former,2022
2022-03-25,4.0,India,1,Senior Associate,Other,,1,1,Current,2022
2022-03-26,5.0,Turkey,0,Senior Associate,Audit–Assurance,,,,Former,2022
2022-03-15,5.0,Malaysia,1,Intern,Other,,,,Current,2022
2022-01-25,4.0,Malaysia,0,,Tax,,,,Former,2022
2022-05-16,1.0,India,0,Manager,Other,,-1,1,Former,2022
2022-02-22,2.0,United States,0,,Other,,,-1,Former,2022
2022-03-30,4.0,Philippines,1,,Other,,,,Current,2022
2022-01-26,5.0,Switzerland,0,,Other,,1,,Former,2022
2022-03-08,4.0,Thailand,1,Senior Associate,Other,,,,Current,2022
2022-03-20,3.0,United States,0,Associate,Other,1,0,0,Former,2022
2022-03-21,5.0,Philippines,1,Senior Associate,Audit–Assurance,-1,0,,Current,2022
2022-03-21,5.0,Spain,1,Associate,Other,1,1,1,Current,2022
2022-03-22,4.0,Cyprus,0,Associate,Audit–Assurance,,,,Former,2022
2022-03-22,4.0,Malaysia,0,,Other,,1,1,Former,2022
2022-03-23,5.0,Switzerland,0,Manager,Other,,,,Former,2022
2021-09-04,4.0,New Zealand,1,Senior Associate,Audit–Assurance,,,,Current,2021
2022-03-24,3.0,Japan,0,Senior Associate,Other,,-1,0,Former,2022
2022-03-25,4.0,Ireland,1,Manager,Other,,,,Current,2022
2022-03-14,4.0,Canada,0,Manager,Other,,,,Former,2022
2022-01-24,4.0,United Kingdom,1,Associate,Tech–IT–Data,1,0,0,Current,2022
2022-03-04,5.0,Other,1,Associate,Other,1,1,,Current,2022
2022-03-17,5.0,United States,1,Intern,Audit–Assurance,,,,Current,2022
2022-03-18,4.0,United States,1,Senior Associate,Other,,,,Current,2022
2022-03-07,3.0,China,0,,Other,,,,Former,2022
2022-03-20,4.0,United Kingdom,1,Senior Associate,Audit–Assurance,1,1,1,Current,2022
2022-04-02,3.0,United States,1,,Other,,,,Current,2022
2022-05-25,1.0,India,1,,Other,-1,-1,-1,Current,2022
2022-03-11,5.0,Canada,1,,Other,,,,Current,2022
2022-01-05,5.0,India,1,Intern,Other,1,1,0,Current,2022
2022-03-23,4.0,United Kingdom,1,Manager,Other,,,,Current,2022
2022-03-01,5.0,United States,0,,Other,,,,Former,2022
2022-03-02,5.0,Other,1,Senior Associate,Other,,,,Current,2022
2022-02-10,2.0,Hong Kong,1,Senior Associate,Other,1,1,0,Current,2022
2022-03-26,4.0,Hong Kong,1,Senior Associate,Other,,,,Current,2022
